代號,公司,資本額(億)
2417,圓剛,19.29
2419,仲琦,22.9
2420,新巨,15.26
2421,建準,25.09
2423,固緯,14.5
2424,隴華,3.0
2425,承啟,10.15
2426,鼎元,30.06
2427,三商電,18.43
2428,興勤,12.81
2429,銘旺科,2.7
2430,燦坤,16.65
2431,聯昌,11.09
2433,互盛電,14.45
2434,統懋,7.06
2436,偉詮,17.8
2438,翔耀,9.52
2439,美律,20.66
2440,太空梭,13.91
2441,超豐,56.88
2442,新美齊,26.36
2443,新利虹,14.57
2444,友旺,10.56
2448,晶電,108.87
2449,京元電,122.27
2450,神腦,25.83
2451,創見,43.08
2453,凌群,10.0
2454,聯發科,158.97
2455,全新,18.49
2456,奇力新,24.37
2457,飛宏,33.77
2458,義隆電,30.39
2459,敦吉,10.59
2460,建通,16.92
2461,光群雷,15.93
2462,良得,11.45
2464,盟立,19.55
2465,麗台,5.36
2466,冠西電,15.63
2467,志聖,14.92
2468,華經,7.0
2471,資通,4.73
2472,立隆,12.92
2474,可成,77.04
2476,鉅祥,18.5
2477,美隆電,19.82
2478,大毅,14.53
2480,敦陽科,10.64
2481,強茂,33.28
2482,連宇,6.21
2483,百容,11.06
2484,希華,15.94
2485,兆赫,31.77
2486,一詮,20.2
2488,漢平,8.0
2489,瑞軒,80.94
2491,吉祥全,6.2
2492,華新科,48.58
2493,揚博,11.44
2495,普安,27.64
2496,卓越,1.75
2497,怡利電,11.88
2498,宏達電,81.88
2499,東貝,37.35
2501,國建,115.96
2504,國產,138.5
2505,國揚,69.66
2506,太設,38.7
2509,全坤興,20.41
2511,太子,162.33
2514,龍邦,50.59
2515,中工,153.09
2516,新建,22.63
2520,冠德,50.38
2524,京城,38.48
2527,宏璟,27.03
2528,皇普,18.21
2530,華建,27.08
2534,宏盛,74.1
2535,達欣工,29.61
2536,宏普,33.28
2537,聯上發,30.06
2538,基泰,43.84
2539,櫻花建,46.13
2540,金尚昌,14.66
2542,興富發,116.66
2543,皇昌,24.2
2545,皇翔,32.77
2546,根基,10.6
2547,日勝生,91.23
2548,華固,27.68
2596,綠意,10.0
2597,潤弘,13.5
2601,益航,63.09
2603,長榮海,451.3
2605,新興,58.54
2606,裕民,84.51
2607,榮運,106.71
2608,大榮,46.7
2609,陽明,206.53
2610,華航,542.1
2611,志信,17.6
2612,中航,19.75
2613,中櫃,14.84
2614,東森,55.68
2615,萬海,221.83
2616,山隆,13.73
2617,台航,41.73
2618,長榮航,485.36
2630,亞航,12.01
2633,高鐵,262.83
2634,漢翔,94.19
2636,台驊,11.72
2637,慧洋-KY,68.07
2640,大車隊,5.38
2641,正德,15.11
2642,宅配通,9.55
2643,捷迅,2.62
2701,萬企,45.0
2702,華園,11.05
2704,國賓,36.69
2705,六福,33.92
2706,第一店,50.0
2707,晶華,12.74
2712,悅來,10.5
2718,晶悅,4.26
2719,燦星旅,1.83
2722,夏都,11.15
2723,美食-KY,18.0
2724,富驛-KY,6.82
2726,雅茗-KY,3.49
2727,王品,7.7
2729,瓦城,2.33
2731,雄獅,7.0
2732,六角,4.01
